"Term1","hana2","jigokuhen_shinji2","kaeru2","kaigara2","karenosho2","kiseru2","onna2","rashomon2","sarano_hana2","torokko2","anitachi2","asa2","asamasiki_mono2","hashire_merosu2","kirigirisu2","ningen_shikkaku2","onnano_ketto2","sekibetsu2","soseiki2","uso2"
"ほどの、",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,0,0
"ほんとうに",0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0
"ま",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0
"まえ、",0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0
"まごついて、",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,0
"まさに、",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0
"ましょう。",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,0
"まする。",0,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"まずい",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,0
"まちへ",0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,2,0,0
"まちを",0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0
"まったく",0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1
"まはりには、",0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"まま、",0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0
"ままで、",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0
"ままの",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2,0
"まんざら",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,1,0,0
"むずかしい",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0
"めずらしい",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,1,0,0
"めったに",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1
"もっとも",0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0
"もっとも、",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0
"もっともらしい",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2,0,0
"もともと、",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,1
"ものさ。",0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0
"ものだと、",0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,0,0,0
"ものだという",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,1,0,0
"もので",0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
"ものでしょう。",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1
"ものでしょうか。",0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1
"ものですから、",0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0
"ものではありません。",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2,0,0
"ものなのだ。",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,0
"ものに、",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0
"ものね。",0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2,0,0,0
"もののようである。",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0
"ものらしく、",0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,1,0,0,0
"もらって、",0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2,0,0
"やあ、",0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0
"やうに。",0,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"やって来た",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0
"やつと",0,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"やや",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0
"ややこしく、",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,0,0
"やる",0,1,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ようやく",0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,2,0,0
"よかろう。",0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0
"よろしい、",0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2,0,0
"わかった",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,0
"わかって。",0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,2,0,0,0
"わからなくなりました。",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0
"わからぬ。",0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,1,0,0
"わからぬが、",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2,0,0
"わかりました。",0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0
"わかるような",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0
"わずかな",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0
"わたくしが",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0
"わたしを",0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"わなわな",0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0
"ゐか",0,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ゐた、",0,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ゐました。",0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ゐられなかつた。",0,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ゐるのは、",0,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ゝつて",0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ゞも",0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"アネサの",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0
"アントが",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0
"イヤな",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0
"カルモチンを",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0
"キリストの",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0
"コップに",0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,1,0,0,0,0
"シヅ子に",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0
"シラクスの",0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0
"スパイに",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0
"セエターを",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0
"セリヌンティウスは、",0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0
"ダンスの",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0
"ッと",0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,2,0,0,0
"ツネ子が",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0
"ツネ子と",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0
"ツネ子の",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0
"ノオトの",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0
"ハイカラな",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0
"ハンケチで",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0
"パピロスを",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0
"ヒラメが",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0
"ヒラメが、",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0
"ヒラメは、",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0
"ベッドに",0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,1,0,0,0
"ポケットから",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2,0,0
"ポケットに",0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0
"マダムは",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0
"マントを",0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,1,0,0,0,0
"メロスには",0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0
"ヨシちゃんに",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0
"ヨシちゃんの",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0
"ヨシ子が",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0
"リュックサックを",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0
"一つとして",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0
"一つは",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0
"一つは、",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0
"一ばん",0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,1,0,0,0,0
"一ばんの",0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1
"一ぱいに",0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0
"一人に",0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,1,0,0
"一人も",0,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"一刻も",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0
"一匹の",0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,2,0,0,0
"一同の",0,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"一団は",0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,1,0,0
"一方、",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0
"一日に",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0
"一時は",0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0
"一歩",0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0
"一流の",0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,2,0,0
"一瞬",0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0
"一言、",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0
"一言の",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,1,0
"丁寧に",0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"万世",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2,0,0
"丈艸は、",0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"三人は",0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0
"三十七年の",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0
"三年間、",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0
"三度、",0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0
"三民主義の",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0
"上",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0
"上って、",0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,2,0,0,0,0
"上を",0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0
"上京の",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0
"上唇の",3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"下から",0,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"下で、",0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0
"下へ",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0
"下人が、",0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0
"下品な",0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0
"下唇を",0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1
"不可解な",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,0,0
"不安な",0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0
"不幸に",2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
"不幸にも",0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
"不幸は、",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0
"不潔な",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2,0,0
"世に",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0
"世の中という",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0
"世間という",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,1,0,0
"両手で",0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,1,0,0,0,0
"並んで、",0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0
"中から",0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0
"中でも、",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0
"中は",0,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"中学時代に",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,0,0
"中年の",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,0
"中庭を、",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0
"主な",0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0
"主人が",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,0,0
"主人は",0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
"主張、",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,1,0,0
"乱れた",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1
"了哲の",0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"事ではない。",2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
"事と、",0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2,0,0,0,0
"事なら、",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0
"事には",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,1,0,0
"事件の",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0
"事件を",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0
"事実",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,0
"事実が",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,0
"事情を",0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2,0,0
"二三度",0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
"二三日",1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"二人、",0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,2,0,0,0,0
"二人とも、",0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0
"二学年に",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0
"二度、",0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0
"二日",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0
"二月、",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2,0,0
"二本の",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0
"二階に、",0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0
"云う、",1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0
"云う。",0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,1,0,0,0
"云つて、",0,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"五趣生死の",0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"交際を",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,0
"亭主が",0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1
"亭主の",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0
"人たちが",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2,0,0
"人たちが、",0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,0,0,0
"人たちを",0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0
"人力車に",0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
"人後に",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0
"人間が、",0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
"人間とは",0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"人間には",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,0,0
"今しも",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,0
"今に",0,0,0,0,0,2,0,0,0,0,0,0,0,1,0,0,0,0,0,0
"今夜",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1
"今夜、",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0
"今夜は、",0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0
"今日まで、",1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0
"他、",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,1,0,0
"他には",0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0
"仙台で",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0
"仙台は",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0
"仙台医専に",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0
"仙台市の",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0
"仙台時代の",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0
"以上は、",0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0
"以来",0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"会の",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0
"会話を",0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0
"但馬さんが",0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0
"但馬の",0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0
"低い、",0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0
"体の",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0
"体中の",0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
"何ぞ",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0
"何だ。",0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,1,0,0
"何でもかでも",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2,0,0
"何という",0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0
"何もかも",0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0
"何もかも、",0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2,0,0,0,0
"何十万、",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0
"何度と",0,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
"何故",0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0
"何故と",0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"何気なく",1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
"余る",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1
"作って",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,0,0
"作品の",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0
"作者に",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0
"侍が、",1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
"供の",2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"依ると、",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2,0,0
"俗人の",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0
"保護室に",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0
"信じ、",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,0,0
"信じて、",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0
"信じていた。",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0
"信頼心は、",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0
"偉大な",0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2,0,0
"側に",0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0
"側へ",0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
"偽善の",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2,0,0
"傍で",0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2,0,0
"傷は、",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0
"傾向が",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,0
"僕たちの",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0
"僕だって、",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2,0,0
"僕のような",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0
"僕も",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0
"僧が、",3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"優しく",0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2,0,0,0,0
"元来",0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
"兄たちは、",0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0
"先、",0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
"先まで",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0
"先年",0,2,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
"先日、",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0
"先生、",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2,0
"先生から",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2,0,0
"先生と",0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2,0,0
"光が",0,0,0,0,1,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0
"光は、",0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0
"光らせて",0,1,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0
"光景を",0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
"党員に",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2,0,0
"入れて、",1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
"全部が",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,0,0
"全集が",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0
"八の",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0
"共感を",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0
"内に、",0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,2,0,0,0
"内を",0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0
"再び、",0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0
"冷たく",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,0
"冷然と",0,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"出かけて",0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,0,0,0
"出て来た",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2,0,0
"出ると、",0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0
"出来なかった。",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0
"出来ますまい。",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0
"出来ませんでした。",0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,0,0,0
"出鱈目に",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2,0,0
"出鱈目の",0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,2,0,0,0,0
"切れめが",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0
"到って",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,1,0,0
"到底",0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
"制帽を",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0
"前には",0,1,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0
"創造た",0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0
"力の",0,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"力を、",0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,0,0,0,0
"努力て",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0
"勉強なければならぬ。",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0
"勉強を",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2,0,0
"動かない。",1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
"勘定は",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2,0,0
"勝手な",0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,1,0,0
"医学に",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0
