"Term1","hana2","jigokuhen_shinji2","kaeru2","kaigara2","karenosho2","kiseru2","onna2","rashomon2","sarano_hana2","torokko2","anitachi2","asa2","asamasiki_mono2","hashire_merosu2","kirigirisu2","ningen_shikkaku2","onnano_ketto2","sekibetsu2","soseiki2","uso2"
"人間の",0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,29,4,11,1,2
"自分に",1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,39,0,8,0,0
"かえって",3,0,0,0,0,0,0,0,0,0,1,0,0,0,1,17,5,20,0,1
"事も",3,2,0,0,1,0,0,1,0,1,0,2,0,1,4,12,6,13,0,2
"同じ",2,2,0,3,1,3,0,1,0,1,1,0,0,2,3,10,6,8,3,2
"周さんの",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,48,0,0
"ああ、",0,0,0,0,0,0,0,0,0,0,0,1,0,10,2,16,12,4,2,0
"た",4,10,0,1,5,0,0,1,0,1,0,1,0,1,1,6,4,10,1,1
"何の",0,1,6,0,0,0,0,1,0,2,0,0,0,1,2,12,3,18,0,1
"無い。",0,0,0,0,0,0,0,0,0,0,1,1,0,14,0,5,9,15,1,1
"ことに",0,0,0,12,0,0,0,1,0,0,5,0,1,0,0,2,16,9,0,0
"れいの",0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,26,6,11,0,1
"僕の",0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,1,0,43,0,0
"全く",1,7,0,0,1,0,0,0,0,0,2,0,0,1,0,17,7,8,1,1
"小さい",0,0,0,1,1,0,0,0,0,1,4,0,0,0,4,14,7,10,1,3
"見ると、",4,1,0,4,2,2,0,6,0,1,1,0,0,1,0,7,7,10,0,0
"人を",1,1,0,0,2,0,0,0,0,0,3,0,0,7,0,9,13,6,3,0
"時の",1,7,0,1,0,0,0,2,0,2,1,0,0,0,2,12,5,12,0,0
"いま",0,0,0,0,0,0,0,0,0,0,3,0,0,1,0,7,9,21,1,2
"と",3,1,0,1,2,1,2,0,0,0,2,0,0,0,2,6,2,20,1,1
"私が",0,1,0,0,0,0,0,0,0,0,5,3,0,2,9,2,5,14,0,3
"ある。",6,0,4,0,3,4,0,0,0,4,0,1,0,1,0,2,4,11,2,1
"ゐる",0,24,2,7,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"急に",1,7,1,1,2,1,0,0,0,3,3,0,0,0,3,3,2,13,1,2
"或る",0,0,0,0,1,0,0,0,0,0,1,3,1,1,1,18,6,11,0,0
"なく",3,9,0,0,2,3,1,3,0,0,0,0,1,1,0,2,6,9,0,2
"なって、",1,1,0,0,0,3,1,0,0,0,4,0,1,0,3,4,4,18,0,2
"もう、",0,0,0,0,1,1,0,0,0,0,1,3,0,3,2,7,5,16,1,2
"ただ、",3,0,0,0,0,0,0,6,0,0,0,0,0,2,0,13,3,13,1,0
"もっと",0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,8,5,21,4,0
"一緒に",0,0,0,0,0,0,0,0,0,0,2,1,0,1,1,13,4,18,0,1
"いよいよ",0,0,0,0,0,1,0,0,0,0,1,0,0,1,2,9,2,23,0,1
"た。",4,0,1,11,1,2,0,0,0,4,1,1,1,1,0,0,2,11,0,0
"とても",0,2,0,0,0,0,0,0,0,0,2,0,0,0,9,14,7,5,0,1
"ものが",0,5,0,0,1,3,0,0,0,0,0,0,0,0,0,8,7,15,0,1
"実に",1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,20,6,11,0,0
"弟子の",22,16,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
"見た",2,11,0,0,2,1,0,0,0,1,0,0,0,0,1,7,5,9,1,0
"いつも",0,0,0,0,0,0,0,0,0,0,3,1,0,0,1,19,5,9,1,0
"すぐ",0,1,0,0,0,0,0,0,0,0,2,0,0,2,2,11,5,15,0,1
"中に",2,9,0,1,2,1,0,2,0,2,0,0,0,0,0,6,3,10,0,1
"事は、",3,5,0,0,2,2,0,2,0,1,0,0,0,0,4,8,5,5,1,1
"云ふ",0,22,1,6,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"大きい",0,0,0,0,0,0,0,0,0,0,1,2,0,2,8,6,3,15,0,2
"眼を",2,5,3,0,1,2,2,0,0,0,0,0,1,0,0,10,3,8,2,0
"私には",0,3,0,0,0,0,0,0,0,0,1,1,0,0,5,0,9,18,1,1
"自分には、",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,36,0,3,0,0
"ひどく",0,0,0,0,0,0,0,0,0,0,1,0,0,1,6,11,0,17,1,1
"見て、",2,0,0,0,1,3,0,0,0,0,0,0,0,0,1,7,7,14,1,2
"こう",9,0,0,0,0,7,1,3,0,3,1,0,0,1,0,2,5,2,0,3
"どう",0,6,0,0,1,0,0,2,0,1,0,1,0,0,0,7,5,12,1,1
"ない。",6,0,1,0,6,8,0,4,0,1,0,0,0,0,0,1,2,7,1,0
"やがて",1,11,0,0,4,0,1,0,0,0,1,0,1,3,0,6,3,6,0,0
"僕は、",0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,2,0,33,0,0
"家の",0,1,0,0,0,0,0,0,0,2,2,2,0,1,3,13,5,5,0,3
"無く、",0,0,0,0,0,0,0,0,0,0,4,0,0,1,0,18,4,9,0,1
"父の",0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,15,0,16,0,0
"私に",0,0,0,0,0,0,0,0,0,0,5,1,0,2,4,4,3,13,0,5
"私を",0,2,0,0,0,0,0,0,0,0,2,2,0,13,7,1,4,2,4,0
"ために",1,0,0,0,0,2,0,0,0,0,0,0,0,2,0,13,2,14,1,1
"必ず",1,2,0,0,0,2,0,0,0,0,1,0,0,0,1,9,2,12,3,3
"ゐた",0,10,1,4,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"居ります。",0,6,0,0,0,0,0,0,0,0,2,0,0,1,3,0,17,2,4,0
"為に",0,1,23,6,0,0,0,0,0,0,0,0,0,4,0,0,1,0,0,0
"鼻を",27,0,0,0,1,2,0,2,0,0,0,0,1,0,0,1,0,0,1,0
"あまり",0,0,0,0,0,1,0,0,0,0,4,0,0,0,2,6,2,18,0,1
"ことを",0,0,1,11,0,0,0,0,0,0,5,0,0,3,0,1,7,5,1,0
"すぐに",3,1,0,0,2,0,1,1,0,0,1,0,0,4,1,13,1,3,0,3
"思います。",0,0,0,0,0,0,0,0,0,0,5,0,0,0,10,2,13,4,0,0
"早く",2,1,0,0,0,0,0,0,0,0,1,1,0,2,3,4,0,20,0,0
"時には、",1,4,0,0,0,0,0,1,0,0,0,1,0,0,3,6,0,17,0,1
"私も",0,3,0,0,0,1,0,0,0,0,1,1,0,2,2,2,5,12,2,3
"「いや、",0,0,0,0,0,0,0,0,0,0,0,4,0,2,0,9,0,14,0,4
"これは、",0,0,0,0,0,1,0,1,0,0,0,1,2,0,1,14,6,3,2,2
"それで",0,0,0,0,0,0,0,0,0,0,1,0,0,2,1,7,5,15,1,1
"ちょっと",0,0,0,0,0,0,0,0,0,0,2,0,0,4,1,4,5,11,0,6
"どうも、",0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,3,2,23,0,3
"上に",2,3,1,0,3,2,2,3,0,0,0,0,0,0,0,3,8,4,2,0
"煙管を",0,0,0,0,0,33,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"自分を",1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,22,4,5,0,0
"出て、",0,2,0,0,0,0,0,0,0,0,2,0,0,2,1,14,4,7,0,0
"大いに",0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,5,4,22,0,0
"女房の",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30,1,0,0
"心の",1,0,0,0,5,0,0,1,0,0,0,0,0,1,1,2,12,7,0,2
"自分も",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21,2,9,0,0
"あなたは",0,0,0,0,0,0,0,0,0,0,0,0,0,2,14,1,7,6,0,1
"いまは",0,0,0,0,0,0,0,0,0,0,1,1,0,2,0,5,3,15,0,4
"ことが",0,0,0,0,0,0,0,0,0,0,5,0,0,1,2,1,13,7,2,0
"しかも",0,3,0,2,7,0,0,1,0,0,0,0,0,0,0,8,3,5,0,2
"ほうが、",0,0,0,0,0,0,0,0,0,0,1,2,0,0,3,16,1,4,2,2
"ものに",0,1,0,0,1,1,0,0,0,0,0,0,0,0,1,10,1,14,2,0
"何を",1,2,0,1,1,0,0,2,0,0,1,0,0,2,3,7,2,4,3,2
"少しも",1,1,0,2,1,0,0,0,0,0,2,0,0,1,2,10,1,9,0,1
"師匠の",0,11,0,0,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"既に",0,0,1,0,3,0,0,1,0,0,0,0,0,4,0,8,2,11,0,1
"最も",0,0,0,0,2,1,0,0,0,0,0,0,0,1,1,8,1,17,0,0
"良秀の",0,31,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"誰も",4,4,0,0,2,1,0,4,0,0,1,0,1,1,3,1,4,3,2,0
"けれども",1,0,0,3,0,0,0,0,0,0,2,1,0,3,4,7,4,5,0,0
"それでも、",0,0,0,0,0,1,0,0,0,0,4,0,0,1,1,8,1,13,1,0
"ために、",2,0,0,0,0,1,0,1,0,0,3,0,1,0,0,9,3,5,2,3
"ものは",2,8,0,0,0,1,0,0,0,0,0,0,0,1,2,5,4,6,1,0
"周さんは、",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30,0,0
"声を",0,3,2,1,2,2,0,2,0,1,0,0,0,2,1,4,7,3,0,0
"持って",0,0,0,0,0,10,0,0,0,0,0,1,0,0,2,4,2,9,1,1
"東京の",0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,8,0,18,1,0
"気に",4,2,0,0,0,0,0,2,0,2,1,0,0,1,1,4,0,11,1,1
"男は、",0,5,0,0,0,0,0,0,0,3,0,0,9,0,0,2,10,1,0,0
"言い、",0,0,0,0,0,0,0,0,0,0,3,0,0,1,0,12,1,11,0,2
"言って、",0,0,0,0,0,0,0,0,0,0,1,0,1,0,2,10,3,8,0,5
"なる",1,3,0,0,1,0,0,1,0,2,0,1,0,2,6,5,3,4,0,0
"ものは、",1,1,0,0,3,0,0,0,0,0,0,0,0,1,0,7,6,10,0,0
"女は、",0,2,0,0,0,0,0,1,0,0,0,0,5,0,0,10,9,0,0,2
"所謂",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17,0,12,0,0
"ありません。",0,0,0,1,0,0,0,0,0,0,0,0,0,0,7,6,5,7,0,2
"さらに",0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,6,0,21,0,0
"そこで",7,5,0,1,0,3,0,2,0,0,0,0,0,0,0,2,6,1,0,1
"なく、",1,6,0,0,3,1,1,1,0,0,0,0,0,0,0,3,1,7,4,0
"また、",0,0,0,0,0,0,0,0,0,0,1,0,2,0,0,12,4,8,1,0
"悪い",0,7,0,0,0,1,0,2,0,0,0,0,0,3,7,3,2,3,0,0
"手を",3,7,0,0,1,0,0,3,0,3,0,0,0,2,0,2,2,1,1,3
"次第に",0,1,0,0,4,0,0,1,0,0,0,0,0,0,0,8,8,6,0,0
"ずいぶん",0,0,0,0,0,0,0,0,0,0,2,0,0,0,4,5,5,10,1,0
"たいへん",0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,5,5,12,2,0
"はっきり",0,0,0,0,0,0,0,1,0,1,1,0,0,0,3,6,1,10,1,3
"ました。",0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,15,0,4,0,5
"わが",0,0,0,0,1,0,0,0,2,0,0,0,0,0,0,0,2,8,14,0
"ゐた。",0,1,0,18,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"依って",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,1,13,0,0
"口を",1,5,3,0,2,0,1,1,0,0,0,1,0,0,0,7,0,5,1,0
"大きな",0,1,2,0,1,0,0,4,0,0,1,0,0,2,0,10,2,2,1,1
"女房は",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26,0,0,0
"見て",0,3,0,1,1,0,0,0,0,0,0,1,0,0,1,6,4,9,1,0
"あって、",1,0,0,0,0,0,0,0,0,0,2,0,0,0,0,4,1,14,0,4
"これから",0,2,0,0,0,0,0,0,0,0,0,1,0,4,0,1,8,10,0,0
"とにかく",0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,10,5,7,1,1
"どうも",1,4,0,1,0,0,0,0,0,0,0,0,0,0,0,2,0,16,0,2
"なり、",0,0,0,1,0,0,0,0,0,0,2,0,0,1,0,15,1,5,0,1
"ほうが",0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,9,3,10,1,0
"やはり、",1,1,0,0,0,1,0,0,0,0,1,0,0,1,2,10,1,6,0,2
"不思議な",0,4,0,0,0,0,0,0,0,0,1,0,0,0,1,5,6,9,0,0
"事を、",1,3,0,0,0,0,0,5,0,0,0,0,0,0,5,9,2,1,0,0
"二人の",0,1,0,0,0,0,0,0,0,4,1,0,0,1,0,6,11,2,0,0
"人が",1,0,0,0,0,0,0,1,0,0,0,0,0,2,4,3,5,10,0,0
"人に",2,1,0,0,0,1,0,0,0,0,0,0,0,0,4,6,5,5,1,1
"前に",1,5,1,0,0,3,0,0,0,0,0,1,0,2,0,4,4,3,1,1
"思った。",1,0,0,0,0,0,0,0,0,3,0,2,0,2,0,0,2,16,0,0
"或",0,10,0,8,2,0,0,0,1,2,0,0,0,0,0,0,3,0,0,0
"若い",0,0,1,1,0,0,0,0,0,3,1,1,0,3,0,6,2,6,0,2
"言って",0,0,0,0,0,0,0,0,0,0,4,1,0,1,2,7,1,10,0,0
"高い",0,1,1,1,0,2,1,1,0,2,1,1,0,0,1,4,3,7,0,0
"黙って",1,0,0,0,0,1,0,0,0,0,0,2,0,0,2,7,4,8,0,1
"鼻の",15,3,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,1,4,0
"あり、",0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,11,1,10,1,1
"でも、",0,0,0,0,0,0,0,0,0,0,0,1,0,0,4,2,3,14,0,1
"ほど",1,0,0,0,0,0,1,0,0,0,0,0,0,1,2,8,0,11,0,1
"中で、",0,3,2,0,2,2,0,1,0,0,0,0,0,1,1,5,1,6,1,0
"中に、",3,8,2,0,4,2,1,2,0,1,0,0,0,0,0,1,1,0,0,0
"事の",1,3,0,0,0,0,0,0,0,0,0,0,0,0,1,6,8,6,0,0
"仙台の",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25,0,0
"家に",0,0,0,0,0,0,0,0,0,0,2,0,0,1,3,10,0,6,2,1
"頃、",0,0,0,1,0,0,0,0,0,0,0,0,0,1,2,8,2,11,0,0
"あんな",0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,2,2,17,0,1
"きっと",0,0,0,0,0,0,0,0,0,0,1,0,0,3,2,8,3,4,1,2
"これを",3,4,0,0,0,2,0,2,0,0,0,0,0,0,0,2,2,9,0,0
"そんなに",0,0,0,0,0,0,0,0,0,0,1,0,0,2,3,3,5,10,0,0
"とにかく、",0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,11,4,8,0,0
"ひとの",0,0,0,0,0,0,0,0,0,0,0,2,0,0,1,17,0,3,0,1
"ひとりで",0,0,0,0,0,0,0,0,0,0,2,0,0,0,1,7,4,10,0,0
"やうに",0,12,1,7,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"丁度",0,10,1,2,1,0,0,0,0,0,0,0,0,0,1,0,8,0,1,0
"二、",0,0,0,0,0,0,0,0,0,0,1,0,0,1,3,4,2,10,0,3
"先生の",0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,0,19,1,0
"唯",0,16,1,3,0,0,0,0,0,2,0,0,0,0,0,0,2,0,0,0
"娘の",0,19,0,0,0,0,0,0,0,0,0,1,2,0,0,0,0,2,0,0
"或は",0,17,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
"新しい",0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,2,2,17,0,1
"時",0,6,0,1,5,0,1,0,0,1,0,0,0,0,0,4,3,2,1,0
"男は",0,7,0,7,0,0,0,0,0,0,0,0,1,0,0,2,5,1,0,1
"良平は",0,0,0,0,0,0,0,0,0,24,0,0,0,0,0,0,0,0,0,0
"お酒を",0,0,0,0,0,0,0,0,0,0,1,1,0,0,2,13,0,4,2,0
"ことは",0,0,0,4,0,0,0,0,0,0,1,0,0,3,0,1,11,3,0,0
"ため、",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,8,1,8
"なって",0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,6,4,9,0,1
"へんに",0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,8,1,11,0,1
"ほどの",0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,12,6,2,1,1
"みんな",0,0,1,0,0,0,0,0,0,0,3,0,0,0,2,4,4,8,1,0
"やっぱり",0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,5,3,12,0,1
"一つ",0,3,1,1,0,2,0,0,0,0,0,0,0,0,2,2,2,8,1,1
"勿論",4,2,1,6,2,3,0,0,0,2,0,0,0,0,0,1,0,2,0,0
"大殿様の",0,23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"居りました。",0,13,0,0,0,0,0,0,0,0,4,0,0,1,4,0,1,0,0,0
"私には、",0,1,0,0,0,0,0,0,0,0,1,0,0,1,10,0,2,7,0,1
"言いました。",0,0,0,0,0,0,0,0,0,0,2,0,0,0,1,12,3,3,0,2
"話を",0,2,0,1,0,0,0,1,0,0,1,0,1,0,2,1,0,10,0,4
"頃の",0,1,0,0,0,0,0,0,0,0,1,1,0,0,1,5,0,13,0,1
"あった。",4,0,0,0,0,2,0,0,0,2,0,1,0,1,0,0,3,9,0,0
"いまの",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,16,2,2
"すると",1,8,0,5,1,1,1,2,0,3,0,0,0,0,0,0,0,0,0,0
"たしかに",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,3,11,0,2
