"Word1","菅2020","安倍3"
"つき",0,1
"つづ",0,1
"どこ",0,1
"ねじれ",0,1
"はず",0,1
"ひと",0,1
"ふかん",0,1
"ぶり",1,0
"みんな",0,1
"アジア",0,1
"アスリート",0,1
"アナウンス",0,1
"アベノミクス",1,0
"アーン",0,1
"イノベーション",1,0
"イベント",1,0
"イン",1,0
"インフラ",0,1
"インフルエンザ",1,0
"イージス・アショア",1,0
"ウィズ",1,0
"オリンピック",1,0
"カーボン",1,0
"カ国",1,0
"カ月",1,0
"ガウン",1,0
"ガス",1,0
"キャンペーン",1,0
"コンサート",1,0
"コーポレートガバナンス",1,0
"サンクトペテルブルク",0,1
"ジブチ",0,1
"スピード",1,0
"スマイルズ",0,1
"センター",1,0
"セーフティー",1,0
"ダイナミック",0,1
"テレワーク",1,0
"ニューヨーク",0,1
"ネット",1,0
"ハイレベル",1,0
"バブル",1,0
"バリ",0,1
"バンク",0,1
"ファンド",1,0
"フロンティア",0,1
"ブエノスアイレス",0,1
"プログラム",0,1
"ベビーシッター",1,0
"マスク",1,0
"マーケット",1,0
"ミサイル",1,0
"ライフワーク",0,1
"リスク",1,0
"ロゲ",0,1
"ロック",0,1
"ロボット",1,0
"ワクチン",1,0
"ワーケーション",1,0
"一刻",1,0
"一変",0,1
"一挙",1,0
"一方",1,0
"一番",0,1
"一過",0,1
"一郎",0,1
"一部",1,0
"七",0,1
"万",0,1
"万博",1,0
"上昇",0,1
"下旬",1,0
"不安",0,1
"与党",0,1
"与野党",1,0
"世の中",0,1
"世紀",0,1
"両国",1,0
"並行",0,1
"中堅",1,0
"中心",0,1
"中村",0,1
"中核",0,1
"中途",1,0
"中長期",0,1
"主権",1,0
"主要",0,1
"予定",0,1
"予算",0,1
"事前",1,0
"事故",0,1
"交渉",0,1
"交通",0,1
"人事",0,1
"人口",1,0
"人権",0,1
"人生",1,0
"人間",1,0
"人類",1,0
"今月",1,0
"介護",0,1
"仕事",0,1
"付加",0,1
"代",1,0
"以前",1,0
"件",1,0
"会",1,0
"会場",0,1
"会談",0,1
"会議",0,1
"会長",0,1
"住宅",1,0
"何",0,1
"作文",0,1
"使",0,1
"供給",0,1
"依存",0,1
"便宜",0,1
"保健所",1,0
"保安",0,1
"俯瞰",0,1
"個",0,1
"個々人",1,0
"個性",1,0
"倍率",0,1
"値",0,1
"健全",0,1
"像",1,0
"充実",0,1
"先人",0,1
"先日",1,0
"先端",1,0
"先般",0,1
"光",0,1
"全面",0,1
"公",1,0
"公明党",0,1
"公的",0,1
"共助",1,0
"共有",0,1
"具体",0,1
"内",0,1
"内外",1,0
"冒頭",0,1
"冥福",1,0
"冬",1,0
"出身",0,1
"列強",0,1
"利便",1,0
"利子",1,0
"前例",1,0
"前半",1,0
"前年",1,0
"前進",0,1
"前面",0,1
"割",1,0
"創業",0,1
"力任せ",0,1
"加速度",1,0
"助",1,0
"労",0,1
"動向",1,0
"勢い",1,0
"北部",1,0
"区域",1,0
"半",1,0
"半ば",0,1
"協力",0,1
"南西",0,1
"原則",1,0
"原子力",1,0
"原発",0,1
"参入",0,1
"参議院",0,1
"取得",0,1
"受け入れ",1,0
"受益",0,1
"台",1,0
"各位",0,1
"各国",1,0
"合意",0,1
"同時",0,1
"同盟",0,1
"向き",1,0
"呪縛",0,1
"哀悼",0,1
"商店",1,0
"四半期",0,1
"四月",0,1
"回",0,1
"団塊",1,0
"国交",1,0
"国難",1,0
"土地",0,1
"在日",0,1
"地価",1,0
"地元",0,1
"地球儀",0,1
"地縁",1,0
"地震",1,0
"均衡",0,1
"垣根",1,0
"基地",1,0
"基準",0,1
"堤防",1,0
"士気",0,1
"多く",1,0
"多元",1,0
"多国",1,0
"多角",1,0
"夢",0,1
"大学生",1,0
"大幅",0,1
"大胆",0,1
"大雨",1,0
"大震災",0,1
"太平洋",0,1
"太陽",1,0
"奨励",0,1
"奮起",0,1
"妥結",0,1
"妨げ",1,0
"委員",1,0
"姿勢",0,1
"季節",1,0
"学び",1,0
"学園",1,0
"安",1,0
"安倍",0,1
"宗",0,1
"官民",1,0
"定数",0,1
"宛て",1,0
"実態",0,1
"実用",0,1
"実証",0,1
"宮古島",0,1
"家庭",1,0
"密",1,0
"対処",0,1
"寿命",1,0
"小中学生",1,0
"就任",0,1
"局",0,1
"届け",1,0
"工事",0,1
"工程",0,1
"年初",1,0
"年度",1,0
"年月",1,0
"年率",0,1
"年金",0,1
"幼稚園",1,0
"庁",1,0
"廃",0,1
"強靭",0,1
"影響",0,1
"役所",1,0
"後押し",0,1
"復活",0,1
"徹底的",0,1
"志",0,1
"恒久",1,0
"恩",1,0
"患者",0,1
"意味",0,1
"愛情",0,1
"懸案",1,0
"成果",1,0
"所",1,0
"手続",0,1
"手間",0,1
"打破",0,1
"技術",1,0
"抑止",0,1
"投票",0,1
"折り紙",0,1
"拉致",0,1
"拓",0,1
"拠点",1,0
"推進",0,1
"支持",0,1
"支配",0,1
"改正",0,1
"政",0,1
"政党",1,0
"教育",0,1
"散在",0,1
"数",1,0
"数量",1,0
"料",0,1
"料金",1,0
"断行",0,1
"新規",1,0
"新陳代謝",0,1
"方策",1,0
"方針",1,0
"施策",0,1
"既得",1,0
"日々",1,0
"日系",1,0
"早期",0,1
"明確",0,1
"最先端",0,1
"最前線",1,0
"最少",1,0
"最終",1,0
"最高",1,0
"有効",0,1
"期",1,0
"期間",0,1
"末",0,1
"本",0,1
"本土",1,0
"本田",0,1
"本部",1,0
"条件",1,0
"条約",1,0
"来月",1,0
"杯",0,1
"東京電力",0,1
"東日本",0,1
"果断",0,1
"枠",1,0
"染",0,1
"柱",1,0
"株",1,0
"核",1,0
"業",1,0
"極限",0,1
"構造",1,0
"標準",1,0
"権益",1,0
"機会",1,0
"機能",0,1
"次第",0,1
"欧米",0,1
"正直",0,1
"歩み",0,1
"段階",0,1
"毎日",0,1
"民主",0,1
"水力",1,0
"水害",1,0
"水泳",0,1
"水産",1,0
"水量",1,0
"氷河期",1,0
"求人",0,1
"決定",0,1
"決断",0,1
"沖縄",0,1
"河川",1,0
"活力",1,0
"活用",0,1
"流域",1,0
"浮き彫り",1,0
"海上",0,1
"海賊",0,1
"清聴",0,1
"減",1,0
"温室",1,0
"溢",0,1
"漁業",0,1
"漁船",0,1
"演劇",1,0
"火力",1,0
"灼熱",0,1
"災",1,0
"炉",0,1
"点",1,0
"無人",1,0
"無料",1,0
"焦燥",0,1
"熱意",1,0
"特例",0,1
"特区",0,1
"特異",0,1
"状態",1,0
"獲得",0,1
"率",1,0
"現代",0,1
"現状",0,1
"現行",0,1
"理解",0,1
"生徒",1,0
"産",0,1
"用地",0,1
"男女",1,0
"町長",1,0
"留学生",1,0
"発信",0,1
"百",0,1
"皆様",0,1
"目先",0,1
"直接",1,0
"直近",1,0
"相互",0,1
"相手",1,0
"省エネルギー",1,0
"省益",1,0
